type,original,capture,local,content_type,status
asset,http://www.earacing.com/images/hs_headOnlineRacing.jpg,20020716173414,images/hs_headOnlineRacing.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars2.jpg,20020716164704,images/hs_cars2.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars3.jpg,20020716165453,images/hs_cars3.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars4.jpg,20020716165741,images/hs_cars4.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars5.jpg,20020716170131,images/hs_cars5.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars6.jpg,20020716170827,images/hs_cars6.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_cars7.jpg,fallback,images/hs_cars7.jpg,application/octet-stream,fallback
asset,http://www.earacing.com/images/hs_cars8.jpg,20020716171620,images/hs_cars8.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_leftbg.jpg,20010808202617,images/hs_leftbg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_middlebg.jpg,20010808202349,images/hs_middlebg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_subWelcome.gif,20020608000722,images/hs_subWelcome.gif,image/gif,ok
asset,http://www.earacing.com/images/hs_rightbg.jpg,20010808202813,images/hs_rightbg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/m_cl_top_green.gif,20020423202304,images/m_cl_top_green.gif,image/gif,ok
asset,http://www.earacing.com/images/OnlineRacing_green.gif,20020716151900,images/OnlineRacing_green.gif,image/gif,ok
asset,http://www.earacing.com/images/greenarrow.gif,20020716162401,images/greenarrow.gif,image/gif,ok
asset,http://www.earacing.com/images/m_cl_right_green.gif,20020423201419,images/m_cl_right_green.gif,image/gif,ok
asset,http://www.earacing.com/images/m_cl_bottom_green.gif,20020716173944,images/m_cl_bottom_green.gif,image/gif,ok
asset,http://www.earacing.com/images/TopRacers_green.gif,20020423183655,images/TopRacers_green.gif,image/gif,ok
asset,http://www.earacing.com/images/TopRacers_yellow.gif,20020716161052,images/TopRacers_yellow.gif,image/gif,ok
asset,http://www.earacing.com/images/AccountSetup_green.gif,20020716202521,images/AccountSetup_green.gif,image/gif,ok
asset,http://www.earacing.com/images/Downloads_green.gif,20020716204104,images/Downloads_green.gif,image/gif,ok
asset,http://www.earacing.com/images/Games_green.gif,20020716205403,images/Games_green.gif,image/gif,ok
asset,http://www.earacing.com/images/m_cl_top_yellow.gif,20001002080350,images/m_cl_top_yellow.gif,image/gif,ok
asset,http://www.earacing.com/images/m_cl_bottom_yellow.gif,20050226043159,images/m_cl_bottom_yellow.gif,text/html,ok
asset,http://www.earacing.com/images/pu_topbg.jpg,20020324225805,images/pu_topbg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/pu_NFSlogo.jpg,20020716181407,images/pu_NFSlogo.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/pu_earacinglogo.jpg,20020716182024,images/pu_earacinglogo.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars1.jpg,20020716152732,images/PU_Cars1.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_headOnlineRacing.jpg,20020716160157,images/PU_headOnlineRacing.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars3.jpg,20020716153815,images/PU_Cars3.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars4.jpg,20020716154058,images/PU_Cars4.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars5.jpg,20020716154643,images/PU_Cars5.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars6.jpg,20020423180809,images/PU_Cars6.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars7.jpg,20020329045020,images/PU_Cars7.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_Cars8.jpg,20020329045201,images/PU_Cars8.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/pu_leftbg.jpg,20020324230029,images/pu_leftbg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/pu_middlebg.jpg,20020324225637,images/pu_middlebg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/PU_subWelcome.gif,20021019232309,images/PU_subWelcome.gif,image/gif,ok
asset,http://www.earacing.com/images/pu_rightbg.jpg,20020324225938,images/pu_rightbg.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/HS_subPatchInfo.gif,20020716145712,images/HS_subPatchInfo.gif,image/gif,ok
asset,http://www.earacing.com/images/HS_subGettingStarted.gif,20020718211051,images/HS_subGettingStarted.gif,image/gif,ok
asset,http://www.earacing.com/images/HS_subHintsAndTips.gif,20020718211924,images/HS_subHintsAndTips.gif,image/gif,ok
asset,http://www.earacing.com/images/hs_headDownloads.jpg,20020716172544,images/hs_headDownloads.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/HS_subNFSHSDemo.gif,20020718212551,images/HS_subNFSHSDemo.gif,image/gif,ok
asset,http://www.earacing.com/images/HS_subCars.gif,20011224072517,images/HS_subCars.gif,image/gif,ok
asset,http://www.earacing.com/images/cars_bmwmc_01.jpg,20011224073815,images/cars_bmwmc_01.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_bmwmc_02.jpg,20020424211004,images/cars_bmwmc_02.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_bmwmc_03.jpg,20020718222003,images/cars_bmwmc_03.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/DL_flag_us.gif,20020718205736,images/DL_flag_us.gif,image/gif,ok
asset,http://www.earacing.com/images/DL_flag_uk.gif,20020718204521,images/DL_flag_uk.gif,image/gif,ok
asset,http://www.earacing.com/images/DL_flag_ge.gif,20020718201211,images/DL_flag_ge.gif,image/gif,ok
asset,http://www.earacing.com/images/DL_flag_sp.gif,20020718203233,images/DL_flag_sp.gif,image/gif,ok
asset,http://www.earacing.com/images/DL_flag_it.gif,20020718202537,images/DL_flag_it.gif,image/gif,ok
asset,http://www.earacing.com/images/DL_flag_sw.gif,20020718203756,images/DL_flag_sw.gif,image/gif,ok
asset,http://www.earacing.com/images/cars_bmwmr_01.jpg,20030413104557,images/cars_bmwmr_01.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_bmwmr_02.jpg,20011224075107,images/cars_bmwmr_02.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_bmwmr_03.jpg,20020718223833,images/cars_bmwmr_03.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_fmod_01.jpg,20020718224450,images/cars_fmod_01.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_fmod_02.jpg,fallback,images/cars_fmod_02.jpg,application/octet-stream,fallback
asset,http://www.earacing.com/images/cars_fmod_03.jpg,20020718225523,images/cars_fmod_03.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_lstorm_01.jpg,20020718230301,images/cars_lstorm_01.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_lstorm_02.jpg,20020718231120,images/cars_lstorm_02.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/cars_lstorm_03.jpg,20020718231550,images/cars_lstorm_03.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/hs_headLinks.jpg,20011212202402,images/hs_headLinks.jpg,image/jpeg,ok
asset,http://www.earacing.com/images/HS_subCarManufacturers.gif,20020718210428,images/HS_subCarManufacturers.gif,image/gif,ok
asset,http://www.earacing.com/images/bmw.gif,20020718214418,images/bmw.gif,image/gif,ok
asset,http://www.earacing.com/images/ferrari.gif,20020718232733,images/ferrari.gif,image/gif,ok
asset,http://www.earacing.com/images/jaguar.gif,20011212203230,images/jaguar.gif,image/gif,ok
asset,http://www.earacing.com/images/lamborg.gif,20011212203510,images/lamborg.gif,image/gif,ok
asset,http://www.earacing.com/images/mercedes.gif,20020718235614,images/mercedes.gif,image/gif,ok
asset,http://www.earacing.com/images/mclaren.gif,20020817075911,images/mclaren.gif,image/gif,ok
asset,http://www.earacing.com/images/pontiac.gif,20020817085535,images/pontiac.gif,image/gif,ok
asset,http://www.earacing.com/images/porsche.gif,20020719000557,images/porsche.gif,image/gif,ok
asset,http://www.earacing.com/images/PU_subPatchInfo.gif,fallback,images/PU_subPatchInfo.gif,application/octet-stream,fallback
asset,http://www.earacing.com/images/hm_btnSubmit.gif,20020716163107,images/hm_btnSubmit.gif,image/gif,ok
asset,http://www.earacing.com/images/PU_headDownloads.jpg,20020718213023,images/PU_headDownloads.jpg,image/jpeg,ok
